Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
SRE,Senior Manager,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,Weekly Review with L3/L2,100% Submission of Monthly performance report,5.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,Meeting with Client,Weekly/fortnightly meeting with proper MOM & Actionable. 100% closer of actioable before next meeting,10.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2/L3and publish in repository on monthly basis,10.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Project / Process,Knowledge Transfer,Understand the product from Development and give knowledage session to next level team (L1/L2/L3). Min 2 sessions monthly.,10.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,People,JIRA,Review of JIRA to make sure 100% adherence done by the L1/L2/L3,10.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Manager,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / AVP - Application Support
SRE,Senior Software Developer,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,Issue Analysis - Application Defect Indentification,100% Cases/Tickets reported by client to be closed end to end,10.00,Dependancy on development team; Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,Review daily Task of L1 Support /Monitoring,100% Submission of daily tracker,10.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Project / Process,Product and Infra Setup Understanding,min 10 unique knowledge article submission on quarterly basis,10.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,Internal / External Customer,C-SAT,8 by 10,5.00,Templatised data from client and internal manager; Sourced from Application Support / L2 Support
SRE,Senior Software Developer,People,Time sheet,100% Adherence,5.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,People,JIRA,100% Adherence,10.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / L2 Support
SRE,Senior Software Developer,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / L2 Support
SRE,Software Developer,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,15.00,Inputs to be taken from sushant Parab; Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,20.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,10.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,10.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,Internal / External Customer,C-SAT,8 by 10,5.00,Templatised data from client/internal manager; Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,People,Time sheet,100% Adherence,10.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,People,JIRA,100% Adherence,10.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Sourced from Application Support / L1 DevOps Support
SRE,Software Developer,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Sourced from Application Support / L1 DevOps Support
Sales,Assistant Vice President,Financial,"Business Unit Revenue, Profitability & P&L Leadership",Achieve assigned annual BU revenue and gross profit targets,25.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Assistant Vice President,Financial,Commercial Strategy & Organic Account Growth,Expand business portfolio by 15%+ through new client contracts and CRs,15.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Assistant Vice President,Project / Process,Portfolio Delivery Governance & Operational Excellence,Ensure 100% portfolio projects meet SLA & timeline benchmarks; 0 regulatory breaches,20.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Assistant Vice President,Project / Process,Strategic Product Modernization & Quality Gates,Sponsor strategic architecture modernization & enterprise process automation,15.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Assistant Vice President,Internal / External Customer,Key Client C-Suite Sponsorship & Relationship Management,Maintain bank C-level satisfaction rating >= 9.2/10; zero major client account loss,13.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Assistant Vice President,People,"Organizational Leadership, Culture & Talent Retention",Drive high-performance culture; keep key talent retention rate > 90%,12.00,"Sourced from Functional / Delivery / Product / Assistant Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,Financial,Portfolio Financial Management & P&L Oversight,Achieve revenue & operating margin targets across assigned project portfolio,25.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,Financial,Account Revenue Expansion via Value Additions,Drive 15%+ organic revenue growth through new modules and change requests,15.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,Project / Process,Portfolio Governance & On-Time Project Delivery,98%+ on-time milestone delivery across portfolio; zero critical delivery defaults,20.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,Project / Process,"Quality Assurance, Audit & Regulatory Compliance",100% compliance with enterprise risk frameworks & regulatory audits,15.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,Internal / External Customer,Senior Client Relationship Management & CSAT,Maintain senior stakeholder CSAT score >= 9/10; quarterly alignment reviews done,13.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Manager,People,"Leadership Pipeline, Succession & Retention",Maintain key talent retention rate >= 90%; execute leadership coaching for leads,12.00,"Sourced from Functional / Delivery / Product / Senior Manager [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,Financial,"Corporate financial growth, enterprise revenue & profitability","Achieve overall corporate financial targets, revenue expansion & EBITDA goals",25.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,Financial,"Strategic investments, M&A & capital allocation",Ensure high ROI on product investments and new strategic market initiatives,15.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,Project / Process,Enterprise strategic vision & organizational alignment,Translate corporate strategy into operational execution across all business units,20.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,Project / Process,"Global regulatory, compliance & corporate governance",Maintain flawless corporate governance and global banking regulatory compliance,15.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,Internal / External Customer,Industry thought leadership & key banking stakeholder trust,Represent Mindgate in global fintech forums; maintain trust of top banking CXOs,12.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President I,People,"Executive talent acquisition, succession planning & organizational culture",Build future leadership capacity; establish top-tier organizational workplace culture,13.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,Financial,"Corporate financial growth, enterprise revenue & profitability","Achieve overall corporate financial targets, revenue expansion & EBITDA goals",25.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,Financial,"Strategic investments, M&A & capital allocation",Ensure high ROI on product investments and new strategic market initiatives,15.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,Project / Process,Enterprise strategic vision & organizational alignment,Translate corporate strategy into operational execution across all business units,20.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,Project / Process,"Global regulatory, compliance & corporate governance",Maintain flawless corporate governance and global banking regulatory compliance,15.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,Internal / External Customer,Industry thought leadership & key banking stakeholder trust,Represent Mindgate in global fintech forums; maintain trust of top banking CXOs,12.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Senior Vice President II,People,"Executive talent acquisition, succession planning & organizational culture",Build future leadership capacity; establish top-tier organizational workplace culture,13.00,"Sourced from Development / Senior Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,Financial,"Division P&L, Revenue Growth & EBIT Targets",Deliver target annual division revenue (15-20% YoY growth) and EBITDA margin,25.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,Financial,OPEX & CAPEX Optimization Strategy,Optimize operational expenditure; zero unbudgeted financial overrun,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,Project / Process,Strategic Roadmap Execution & Operational Resilience,Achieve 99.99% operational SLA compliance across division deliverables,20.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,Project / Process,"Governance, Audit & Regulatory Excellence",100% clean audit reports from central bank and enterprise client audits,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,Internal / External Customer,Senior Bank Leadership Relationships & Strategic Retention,Maintain C-level client relationship health score >= 9.2/10; 0 account churn,13.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President,People,Executive Succession Planning & High-Performance Culture,Build strong middle management leadership pipeline; key talent attrition < 8%,12.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,Financial,"Division P&L, Revenue Growth & EBIT Targets",Deliver target annual division revenue (15-20% YoY growth) and EBITDA margin,25.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,Financial,OPEX & CAPEX Optimization Strategy,Optimize operational expenditure; zero unbudgeted financial overrun,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,Project / Process,Strategic Roadmap Execution & Operational Resilience,Achieve 99.99% operational SLA compliance across division deliverables,20.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,Project / Process,"Governance, Audit & Regulatory Excellence",100% clean audit reports from central bank and enterprise client audits,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,Internal / External Customer,Senior Bank Leadership Relationships & Strategic Retention,Maintain C-level client relationship health score >= 9.2/10; 0 account churn,13.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President I,People,Executive Succession Planning & High-Performance Culture,Build strong middle management leadership pipeline; key talent attrition < 8%,12.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,Financial,"Division P&L, Revenue Growth & EBIT Targets",Deliver target annual division revenue (15-20% YoY growth) and EBITDA margin,25.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,Financial,OPEX & CAPEX Optimization Strategy,Optimize operational expenditure; zero unbudgeted financial overrun,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,Project / Process,Strategic Roadmap Execution & Operational Resilience,Achieve 99.99% operational SLA compliance across division deliverables,20.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,Project / Process,"Governance, Audit & Regulatory Excellence",100% clean audit reports from central bank and enterprise client audits,15.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,Internal / External Customer,Senior Bank Leadership Relationships & Strategic Retention,Maintain C-level client relationship health score >= 9.2/10; 0 account churn,13.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Sales,Vice President II,People,Executive Succession Planning & High-Performance Culture,Build strong middle management leadership pipeline; key talent attrition < 8%,12.00,"Sourced from Functional / Delivery / Product / Deputy Vice President [New shelf 25-Sep-2026 — adapted, please review]"
Support,Assistant Manager,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Project / Process,Issue Analysis - Application Defect Indentification,100%cases reported by client to be closed end to end,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Project / Process,Weekly Review with L1/L2,100% Submission of weekly tracker,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2 and publish in repository on monthly basis | min 10 unique knowledge article submission on quarterly basis,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support; Sourced from Application Support / L3 Support; Merged 2 rows with the same KRA; weight kept at 10 (identical on all 2 rows)
Support,Assistant Manager,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,People,Time sheet,100% Adherence,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,People,JIRA,100% Adherence,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Assistant Manager,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Complaint Executive,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support; Sourced from Support / Executive
Support,Complaint Executive,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Complaint Executive,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support; Sourced from Support / Executive"
Support,Executive,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Support,Executive,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Support,Executive,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Support,Executive,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Support,Executive,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support
Support,Executive,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support
Support,Executive,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support
Support,Executive,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support
Support,Executive,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support
Support,Executive,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support
Support,Executive,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support
Support,Executive,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support
Support,Executive,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support
Support,Executive,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support
Support,Executive,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support
Support,Executive,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support
Support,Executive,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Executive,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Support,Lead,Financial,"TD, BD analysis beyond Threshold",100% of case (Including Daily) going beyond threashold(TD>0.1%) to be analysed and highlighted to next level,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Financial,Incident analysis,100% adherence to SLA of trouble shooting and RCA Preparation and discussion with bank and internal team,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Project / Process,Issue Analysis - Application Defect Indentification,100%cases reported by client to be closed end to end,10.00,Dependancy on development team; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Project / Process,Weekly Review with L1/L2,100% Submission of weekly tracker,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Project / Process,Meeting with Client/Internal team,weekly meeting with proper MOM & Actionable,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,Project / Process,Product and Infra Setup Understanding,Review of knowledge article submitted by L1/L2 and publish in repository on monthly basis | min 10 unique knowledge article submission on quarterly basis,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support; Sourced from Application Support / L3 Support; Merged 2 rows with the same KRA; weight kept at 10 (identical on all 2 rows)
Support,Lead,Internal / External Customer,C-SAT,8 by 10,10.00,Templatised data from client and internal manager; Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,People,Time sheet,100% Adherence,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,People,JIRA,100% Adherence,10.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,People,Interpersonal skills,No Major Escalation for behavioral issues,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
Support,Lead,People,Training,40 hours of training in a year arrnaged by MGS,5.00,Tab named after a person (Vipul); Sourced from Application Support / L3 Support
